,luogo_nascita,data_nascita_y,Numero di emigranti,geometry,x,y,size
1181,Vezzano,0,3,POINT (11.00081000000006 46.07928000000004),11.00081000000006,46.07928000000004,5
591,Mezzotedesco,0,2,POINT (11.12026000000003 46.21603000000005),11.12026000000003,46.21603000000005,4
255,Lana,0,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
1128,Toss,0,2,POINT (11.07915000000003 46.27617000000004),11.07915000000003,46.27617000000004,4
1210,Villazzano,0,3,POINT (11.14386000000007 46.04925000000003),11.14386000000007,46.04925000000003,5
12,Baselga,0,12,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,14
1126,Tenna,0,1,POINT (11.26852000000002 46.01283000000006),11.26852000000002,46.01283000000006,3
903,Sover,0,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
863,Segonzano,0,6,POINT (11.25872000000004 46.18782000000004),11.25872000000004,46.18782000000004,8
153,Calarino,0,3,POINT (10.98331000000007 46.04464000000007),10.98331000000007,46.04464000000007,5
240,Grumes,0,1,POINT (11.29274000000004 46.22153000000003),11.29274000000004,46.22153000000003,3
546,Lavis,0,4,POINT (11.11388000000005 46.13788000000005),11.11388000000005,46.13788000000005,6
631,Palù,0,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
162,Civezzano,0,7,POINT (11.18236000000007 46.08852000000007),11.18236000000007,46.08852000000007,9
143,Baselga ,1820,2,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,4
627,Palù,1820,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
598,Miola,1820,5,POINT (11.60674000000006 46.29814000000005),11.60674000000006,46.29814000000005,7
909,Sover,1824,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
588,Mezzolombardo,1827,2,POINT (11.09077000000008 46.21331000000004),11.09077000000008,46.21331000000004,4
634,Palù,1828,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
632,Palù,1830,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
